"","KeyID","Latitude","Longitude","Elevation","Rep","Year","GddCum","DggWyr","CMI","P","PET","TMaxMean","TMinMean","summerPPT","DataType","row_index","location"
"1","site_1",51.179,-115.57,1397,0,1999,431.4,997.45,-6.75727,42.5,49.2573,9.25667,-3.05642,12.76,"Real_Data",1,"Banff"
"2","site_2",51.179,-115.57,1397,0,2000,500.65,939.3,-9.24746,36.81,46.0575,9.13402,-2.98531,11.01,"Real_Data",2,"Banff"
"3","site_3",51.179,-115.57,1397,0,2001,578.3,953.75,-5.93861,40.26,46.1986,8.3247,-4.59798,19.48,"Real_Data",3,"Banff"
"4","site_4",51.179,-115.57,1397,0,2002,574.25,1067.6,-13.3555,36.37,49.7255,8.62131,-4.40744,23.27,"Real_Data",4,"Banff"
"5","site_5",51.179,-115.57,1397,0,2003,620.95,947.6,-6.00909,41.18,47.1891,9.07071,-3.74268,21.22,"Real_Data",5,"Banff"
"6","site_6",51.179,-115.57,1397,0,2004,593.1,1125.4,-13.9227,40.58,54.5027,9.53072,-3.77613,14.81,"Real_Data",6,"Banff"
"7","site_7",51.179,-115.57,1397,0,2005,571.9,996.3,19.6097,64.23,44.6203,9.01043,-2.90451,27.93,"Real_Data",7,"Banff"
"8","site_8",51.179,-115.57,1397,0,2006,734.3,1059.65,-0.433891,50.43,50.8639,9.44314,-2.85517,16.28,"Real_Data",8,"Banff"
"9","site_9",51.179,-115.57,1397,0,2007,717.55,1160.3,-1.23721,54.22,55.4572,9.63981,-2.96198,23.15,"Real_Data",9,"Banff"
"10","site_10",51.179,-115.57,1397,0,2008,535.85,917.7,-4.26662,41.47,45.7366,8.40947,-4.04088,17.11,"Real_Data",10,"Banff"
"11","site_11",51.179,-115.57,1397,0,2009,549.85,974.5,-2.4534,46.2,48.6534,8.81447,-4.01453,15.06,"Real_Data",11,"Banff"
"12","site_12",51.179,-115.57,1397,0,2010,506.65,992.3,-21.282,29.99,51.272,9.16942,-3.55984,15.23,"Real_Data",12,"Banff"
"13","site_13",51.179,-115.57,1397,0,2011,524.7,950.95,5.17598,47.88,42.704,7.50359,-4.38685,20.49,"Real_Data",13,"Banff"
"14","site_14",51.179,-115.57,1397,0,2012,579.75,1080.95,-2.06799,49.67,51.738,9.55602,-2.60714,29.43,"Real_Data",14,"Banff"
"15","site_15",51.179,-115.57,1397,0,2013,620.9,1124.7,-9.27041,43.87,53.1404,9.51355,-3.26775,25.45,"Real_Data",15,"Banff"
